evidence_label,modality,representation,score,rule,subset,n_genuine,n_impostor,threshold,TP,FN,FP,TN,FAR,FRR,TAR,accuracy,precision,recall,F1,subset_EER,subset_EER_threshold
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.82,332,1831,0,19659,0,0.846509,0.153491,0.916094,1,0.153491,0.266132,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.83,270,1893,0,19659,0,0.875173,0.124827,0.913253,1,0.124827,0.221948,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.84,241,1922,0,19659,0,0.888581,0.111419,0.911924,1,0.111419,0.200499,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.85,204,1959,0,19659,0,0.905687,0.0943135,0.910228,1,0.0943135,0.17237,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.86,146,2017,0,19659,0,0.932501,0.0674988,0.90757,1,0.0674988,0.126462,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.87,131,2032,0,19659,0,0.939436,0.060564,0.906883,1,0.060564,0.114211,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.88,89,2074,0,19659,0,0.958853,0.0411466,0.904958,1,0.0411466,0.0790409,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.89,77,2086,0,19659,0,0.964401,0.0355987,0.904408,1,0.0355987,0.06875,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.9,54,2109,0,19659,0,0.975035,0.0249653,0.903354,1,0.0249653,0.0487145,0.085387,0.327646
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.6,3040,1483,85,80815,0.00105068,0.32788,0.67212,0.981644,0.9728,0.67212,0.794979,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.61,2963,1560,66,80834,0.000815822,0.344904,0.655096,0.980965,0.978211,0.655096,0.784693,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.62,2854,1669,52,80848,0.000642769,0.369003,0.630997,0.979853,0.982106,0.630997,0.76834,0.0711892,0.300764
