evidence_label,modality,representation,score,rule,threshold,FAR,FRR,TAR,accuracy,precision,F1
REAL DATA,voice,raw_embedding,raw_distance,<=,1.18,0.0941354,0.00137552,0.998624,0.909611,0.308673,0.471582
REAL DATA,voice,raw_embedding,raw_distance,<=,1.2,0.114572,0.00137552,0.998624,0.89,0.268392,0.423077
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.7,1,0,1,0.0562476,0.0562476,0.106505
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.71,1,0,1,0.0562476,0.0562476,0.106505
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.72,1,0,1,0.0562476,0.0562476,0.106505
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.73,1,0,1,0.0562476,0.0562476,0.106505
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.74,1,0,1,0.0562476,0.0562476,0.106505
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.75,1,0,1,0.0562476,0.0562476,0.106505
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.76,0.999978,0,1,0.0562686,0.0562488,0.106507
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.77,0.999667,0,1,0.0565622,0.0562653,0.106536
REAL DATA,fingerprint,protected_template,hamming_similarity,>=,0.78,0.999333,0,1,0.0568768,0.0562831,0.106568
